JoinMode,Group,Name,Profile,AppEUI,DevEUI,AppKey,DevAddr,AppSKey,NwkSKey
OTAA,test,adr-dev-01,default,0000000000000000,80b9867d4598eb10,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-02,default,0000000000000000,0f0afc7e29f520d1,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-03,default,0000000000000000,2f29f2c9f8d17441,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-04,default,0000000000000000,a1b2c3d4e5f6a7b8,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-05,default,0000000000000000,b1c2d3e4f5a6b7c8,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-06,default,0000000000000000,c1d2e3f4a5b6c7d8,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-07,default,0000000000000000,d1e2f3a4b5c6d7e8,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-08,default,0000000000000000,e1f2a3b4c5d6e7f8,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-09,default,0000000000000000,f1a2b3c4d5e6f7a8,00112233445566778899AABBCCDDEEFF,,,
OTAA,test,adr-dev-10,default,0000000000000000,a2b3c4d5e6f7a8b9,00112233445566778899AABBCCDDEEFF,,,
